ID Calon Mahasiswa,Nilai Tes Potensi Skolastik,Nilai Literasi Bahasa Indonesia,Nilai Literasi Bahasa Inggris,Nilai Penalaran Matematika,Nilai Total,Nilai Rerata
CM000001,32,41,25,30,128,32
CM000002,24,14,37,60,135,33
CM000003,71,78,30,18,197,49
CM000004,71,80,84,64,299,74
CM000005,0,35,3,63,101,25
CM000006,22,24,64,49,159,39
CM000007,23,42,41,15,121,30
CM000008,11,70,99,33,213,53
CM000009,68,60,26,28,182,45
CM000010,24,9,10,25,68,17
CM000011,89,71,56,76,292,73
CM000012,90,68,9,12,179,44
CM000013,90,94,27,95,306,76
CM000014,42,11,12,73,138,34
CM000015,59,10,100,100,269,67
CM000016,68,13,34,56,171,42
CM000017,80,99,70,15,264,66
CM000018,44,67,7,98,216,54
CM000019,51,96,74,77,298,74
CM000020,67,31,28,73,199,49
CM000021,60,51,94,17,222,55
CM000022,98,49,1,4,152,38
CM000023,6,63,80,5,154,38
CM000024,95,45,97,55,292,73
CM000025,15,32,64,72,183,45
CM000027,88,62,7,83,240,60
CM000028,60,88,83,12,243,60
CM000029,18,38,67,11,134,33
CM000030,2,62,45,96,205,51
CM000031,53,73,0,7,133,33
CM000032,61,18,97,96,272,68
CM000033,3,89,1,30,123,30
CM000034,11,85,59,14,169,42
CM000035,49,60,13,17,139,34
CM000036,30,33,26,98,187,46
CM000037,11,20,21,19,71,17
CM000038,3,6,29,85,123,30
CM000039,64,98,48,73,283,70
CM000040,91,93,76,53,313,78
CM000041,62,64,34,76,236,59
CM000042,13,60,79,53,205,51
CM000043,37,69,35,36,177,44
CM000044,58,24,2,75,159,39
CM000045,62,9,4,2,77,19
CM000046,94,18,1,11,124,31
CM000047,84,13,65,26,188,47
CM000048,86,10,99,54,249,62
CM000049,21,13,85,49,168,42
CM000050,36,58,62,68,224,56
CM000051,88,98,51,24,261,65
CM000052,83,54,32,36,205,51
CM000053,11,67,41,40,159,39
CM000054,24,99,35,47,205,51
CM000055,96,92,87,61,336,84
CM000056,95,98,99,83,375,93
CM000057,67,50,64,68,249,62
CM000058,51,32,48,95,226,56
CM000059,71,90,84,39,284,71
CM000060,10,35,86,13,144,36
CM000061,18,17,46,100,181,45
CM000062,89,6,27,75,197,49
CM000063,79,71,77,86,313,78
CM000064,74,7,67,2,150,37
CM000065,92,75,15,81,263,65
CM000066,88,16,34,20,158,39
CM000067,83,43,7,86,219,54
CM000068,66,93,79,74,312,78
CM000069,48,11,89,38,186,46
CM000070,10,46,58,82,196,49
CM000071,79,94,0,6,179,44
CM000072,57,95,19,63,234,58
CM000073,51,100,68,9,228,57
CM000074,55,0,14,4,73,18
CM000075,48,99,16,4,167,41
CM000076,100,81,33,76,290,72
CM000077,32,81,22,69,204,51
CM000078,85,11,8,5,109,27
CM000079,70,93,49,65,277,69
CM000080,91,9,22,94,216,54
