ID Calon Mahasiswa,ID Jurusan Pilihan Pertama,ID Jurusan Pilihan Kedua,IPI Pilihan Jurusan Pertama,IPI Pilihan Jurusan Kedua
CM000001,85798,59278,3,1
CM000002,54476,85798,3,1
CM000003,93296,54476,2,2
CM000004,21970,40389,3,3
CM000005,12372,52609,3,1
CM000006,12372,84822,3,3
CM000007,36547,48648,3,2
CM000008,79038,24156,3,3
CM000009,37897,62191,2,2
CM000010,70503,16405,2,3
CM000012,37897,85798,3,1
CM000013,52609,36547,2,2
CM000014,37897,59278,2,3
CM000015,93296,54476,2,1
CM000017,54476,84822,3,3
CM000018,19071,59278,3,3
CM000019,53300,93296,2,2
CM000020,37897,54476,2,3
CM000021,93296,53300,3,1
CM000022,54476,43506,1,1
CM000023,36547,40389,2,2
CM000024,19071,71411,1,1
CM000025,85798,24156,3,2
CM000027,24156,54476,1,3
CM000028,24156,43506,2,1
CM000029,19071,36547,3,2
CM000030,40389,52609,2,1
CM000031,40389,24156,2,3
CM000032,21970,71411,3,2
CM000033,37897,12372,3,2
CM000034,36547,40389,2,1
CM000035,93296,24156,3,1
CM000036,37897,21970,1,2
CM000037,84822,21970,3,3
CM000038,52609,70503,3,3
CM000039,21970,59278,1,1
CM000040,84822,40389,1,1
CM000043,37897,93296,1,2
CM000044,59278,21970,1,1
CM000045,16405,40389,2,2
CM000046,79038,48648,2,1
CM000047,19071,62191,1,3
CM000048,93296,40389,3,2
CM000049,52609,36547,2,3
CM000050,36547,59278,2,2
CM000051,59278,62191,3,3
CM000052,52609,37897,2,2
CM000053,16405,40389,2,1
CM000054,59278,36547,1,2
CM000055,21970,53300,2,2
CM000056,85798,36547,2,1
CM000057,36547,48648,3,1
CM000058,84822,85798,1,3
CM000059,43506,36547,3,2
CM000060,70503,85798,3,2
CM000061,79038,24156,3,1
CM000062,21970,79038,2,3
CM000063,52609,48648,3,2
CM000065,37897,70503,1,3
CM000066,53300,85798,1,3
CM000068,70503,36547,3,2
CM000069,37897,24156,2,2
CM000070,43506,16405,2,3
CM000071,54476,48648,2,2
CM000072,62191,24156,2,3
CM000073,85798,12372,2,2
CM000074,48648,70503,1,2
CM000075,71411,62191,2,2
CM000078,37897,93296,1,1
CM000079,85798,40389,1,3
CM000080,53300,24156,2,3
CM000081,85798,12372,2,3
CM000083,12372,79038,1,3
CM000085,79038,85798,2,2
CM000086,19071,16405,2,2
CM000087,71411,40389,3,2
CM000088,54476,59278,3,3
CM000089,12372,70503,3,1
CM000091,43506,84822,3,3
CM000092,21970,40389,3,1
CM000093,43506,24156,1,2
CM000095,84822,71411,1,2
CM000097,84822,53300,3,1
CM000098,24156,16405,3,1
CM000099,40389,71411,1,1
CM000100,21970,37897,1,3
CM000101,19071,71411,1,1
CM000102,84822,70503,3,1
CM000103,12372,62191,3,2
CM000104,93296,36547,3,3
CM000106,24156,85798,2,1
CM000107,37897,70503,1,2
CM000108,52609,21970,1,1
CM000110,40389,79038,1,2
CM000111,59278,37897,1,1
CM000112,48648,59278,3,1
CM000114,84822,62191,3,1
CM000116,48648,70503,3,1
CM000117,12372,62191,2,2
CM000119,54476,52609,1,3
CM000120,70503,12372,2,2
CM000122,16405,43506,1,3
CM000123,21970,54476,1,1
CM000124,43506,85798,2,2
CM000126,62191,43506,3,2
CM000127,54476,43506,2,3
